user,repository_name,url,size,stargazers_count,forks_count,open_issues
Gui774ume,fsprobe,https://github.com/Gui774ume/fsprobe.git,3616,17,7,0
pathtofile,bpf-hookdetect,https://github.com/pathtofile/bpf-hookdetect.git,1810,20,3,1
criticalstack,swoll,https://github.com/criticalstack/swoll.git,2052,68,8,1
sematext,oxdpus,https://github.com/sematext/oxdpus.git,42,60,15,3
linux-lock,bpflock,https://github.com/linux-lock/bpflock.git,5216,55,4,3
KernelErr,foxear,https://github.com/KernelErr/foxear.git,941,67,10,1
ti-mo,conntracct,https://github.com/ti-mo/conntracct.git,543,58,9,7
Geal,rust-ebpf-demo,https://github.com/Geal/rust-ebpf-demo.git,1,11,3,1
Lawouach,ebpf-2021-talk,https://github.com/Lawouach/ebpf-2021-talk.git,20,6,4,0
cloudalchemy,ansible-ebpf_exporter,https://github.com/cloudalchemy/ansible-ebpf_exporter.git,52,5,4,1
sourque,louis,https://github.com/sourque/louis.git,856,25,5,0
zebaz,xpress-dns,https://github.com/zebaz/xpress-dns.git,57,31,3,0
elastic,bpfcov,https://github.com/elastic/bpfcov.git,1446,103,7,2
oskardrums,ebpf,https://github.com/oskardrums/ebpf.git,264,43,1,4
aya-rs,aya-log,https://github.com/aya-rs/aya-log.git,28,13,4,1
ntop,ntopng,https://github.com/ntop/ntopng.git,324399,4524,561,239
devopsspiral,ebpf-bt-unlock,https://github.com/devopsspiral/ebpf-bt-unlock.git,2,21,2,0
ebpf-io,bsc,https://github.com/ebpf-io/bsc.git,12,7,3,2
rebpf,rebpf,https://github.com/rebpf/rebpf.git,200,35,7,7
ygrek,ocaml-bpf,https://github.com/ygrek/ocaml-bpf.git,13,18,2,1
lizrice,ebpf-networking,https://github.com/lizrice/ebpf-networking.git,11,62,1,1
grantseltzer,messing-around-with-ebpf,https://github.com/grantseltzer/messing-around-with-ebpf.git,8592,7,3,0
path-network,bpf-echo,https://github.com/path-network/bpf-echo.git,4,27,5,0
mclenhard,ebpf-summit,https://github.com/mclenhard/ebpf-summit.git,6,13,2,1
fuweid,embedshim,https://github.com/fuweid/embedshim.git,991,75,5,3
sysprog21,sehttpd,https://github.com/sysprog21/sehttpd.git,38,60,49,0
florianl,tc-skeleton,https://github.com/florianl/tc-skeleton.git,6,27,6,0
netbound,p2pflow,https://github.com/netbound/p2pflow.git,4263,18,2,1
libbpf,bpftool,https://github.com/libbpf/bpftool.git,1089,23,8,2
skydive-project,skydive,https://github.com/skydive-project/skydive.git,66903,2171,380,132
dany74q,pyebpf,https://github.com/dany74q/pyebpf.git,38,22,4,1
kubearmor,KubeArmor,https://github.com/kubearmor/KubeArmor.git,22509,362,91,49
cloudflare,tubular,https://github.com/cloudflare/tubular.git,3032,144,3,2
coroot,coroot-node-agent,https://github.com/coroot/coroot-node-agent.git,208,73,5,0
fntlnz,influxdb-ebpf-example,https://github.com/fntlnz/influxdb-ebpf-example.git,419,15,2,0
nyrahul,ebpf-guide,https://github.com/nyrahul/ebpf-guide.git,2434,11,2,0
YutaroHayakawa,ipftrace,https://github.com/YutaroHayakawa/ipftrace.git,121,60,5,2
byoman,intro-ebpf,https://github.com/byoman/intro-ebpf.git,878,10,2,0
